,plantid,genotype_name,cluster
0,1,DH_KE0639,279.0
34,2,DH_PE0338,417.0
70,3,DH_PE0199,95.0
110,4,DH_KE0282,375.0
151,5,DH_PE0125,61.0
191,6,DH_KE0058,409.0
229,7,DH_KE0109,99.0
270,8,DH_KE0041,9.0
311,9,DH_KE0460,365.0
350,10,DH_KE0605,170.0
391,11,DH_PE0237,115.0
432,12,DH_KE0141,261.0
472,13,DH_KE0081,14.0
513,14,DH_PE0351,70.0
553,15,DH_PE0417,294.0
593,16,DH_KE0289,137.0
634,17,DH_KE0112,284.0
675,18,DH_KE0062,280.0
715,20,DH_PE0413,282.0
756,21,DH_KE0120,256.0
796,22,DH_KE0071,5.0
837,23,DH_PE0393,223.0
878,24,DH_PE0387,301.0
918,25,DH_KE0482,9.0
959,26,DH_PE0219,30.0
1000,28,DH_PE0349,80.0
1041,29,DH_PE0278,115.0
1082,30,DH_KE0461,135.0
1122,31,DH_PE0723,64.0
1163,32,DH_PE0246,126.0
1203,33,DH_PE0357,
1243,34,DH_KE0578,
1284,35,DH_PE0036,
1325,37,DH_PE0076,
1366,38,DH_KE0662,
1407,39,DH_KE0132,
1447,40,DH_KE0491,
1488,41,DH_PE0088,
1528,42,DH_KE0402,
1568,43,DH_PE0015,
1609,44,DH_PE0115,
1650,45,DH_PE0286,
1690,46,DH_PE0410,
1731,47,DH_KE0426,
1772,48,DH_KE0478,
1812,49,DH_KE0510,
1853,50,DH_KE0398,
1894,51,DH_KE0031,
1934,52,DH_KE0133,
1975,53,DH_KE0713,
2015,54,DH_PE0447,
2054,55,DH_KE0574,
2095,56,DH_PE0374,
2136,57,DH_KE0202,
2176,58,DH_PE0074,
2217,59,DH_KE0627,
2258,60,DH_KE0234,
2298,61,DH_KE0130,
2339,62,DH_PE0598,
2380,63,DH_KE0072,
2420,64,DH_PE0132,
2461,65,DH_PE0424,
2501,66,DH_KE0318,
2541,67,DH_PE0356,
2582,68,DH_KE0107,
2623,69,DH_PE0473,
2663,70,DH_PE0097,
2704,71,DH_KE0571,
2744,72,DH_PE0024,
2784,73,DH_PE0170,
2825,74,DH_PE0336,
2866,75,DH_KE0406,
2906,76,DH_PE0204,
2947,77,DH_PE0033,
2988,78,DH_PE0002,
3028,79,DH_KE0076,
3069,80,DH_KE0033,
3109,81,DH_PE0279,
3148,82,UH007,
3189,83,DH_PE0275,
3230,84,DH_KE0210,
3270,85,DH_KE0254,
3311,86,DH_PE0475,
3352,87,DH_KE0454,
3390,89,DH_KE0110,
3429,90,DH_KE0157,
3468,92,DH_KE0095,
3508,94,DH_KE0118,
3548,95,DH_KE0038,
3588,96,DH_KE0490,
3627,97,DH_PE0017,
3667,98,DH_PE0359,
3707,99,DH_PE0149,
3746,100,DH_PE0276,
3786,101,DH_PE0090,
3826,102,DH_KE0354,
3865,103,DH_KE0088,
3905,104,DH_PE0228,
3945,105,DH_KE0222,
3984,106,DH_PE0389,
4024,107,DH_KE0140,
4064,108,DH_PE0435,
4103,109,DH_PE0140,
4143,110,DH_PE0101,
4183,111,DH_PE0496,
4222,112,DH_PE0295,
4262,113,DH_PE0161,
4302,114,DH_KE0173,
4341,115,DH_KE0703,
4381,116,DH_PE0422,
4421,117,DH_KE0103,
4460,120,DH_KE0032,
4498,121,DH_PE0239,
4537,122,DH_KE0610,
4577,123,DH_KE0486,
4616,124,DH_KE0218,
4656,125,DH_PE0067,
4695,126,DH_KE0331,
4734,127,DH_KE0418,
4773,128,DH_PE0346,
4813,129,DH_KE0085,
4850,130,DH_PE0146,
4889,131,DH_PE0485,
4929,132,DH_KE0525,
4968,133,DH_PE0405,
5006,134,DH_KE0468,
5046,135,DH_KE0479,
5085,136,DH_KE0422,
5124,137,DH_PE0624,
5164,138,DH_PE0213,
5203,139,DH_PE0087,
5242,140,DH_PE0505,
5282,141,DH_KE0004,
5320,142,DH_KE0628,
5358,143,DH_KE0094,
5397,144,DH_KE0206,
5434,145,DH_PE0305,
5472,146,DH_KE0201,
5511,147,DH_KE0075,
5549,148,DH_KE0200,
5587,149,DH_KE0724,
5626,150,DH_KE0428,
5664,151,DH_KE0265,
5702,152,DH_PE0027,
5741,154,DH_KE0291,
5779,155,DH_KE0259,
5818,156,DH_KE0127,
5856,157,DH_KE0367,
5894,158,DH_PE0550,
5933,159,DH_PE0549,
5971,160,EP1,
6009,161,DH_PE0320,
6048,162,DH_KE0333,
6086,164,DH_KE0180,
6124,165,DH_KE0310,
6162,166,DH_KE0057,
6201,167,DH_KE0734,
6239,168,DH_KE0337,
6277,169,DH_PE0114,
6316,170,DH_PE0102,
6355,171,DH_KE0194,
6393,172,DH_PE0291,
