,predict
0,0
1,0
2,1
3,1
4,0
5,1
6,1
7,1
8,1
9,0
10,1
11,0
12,0
13,0
14,0
15,2
16,2
17,1
18,0
19,0
20,0
21,0
22,0
23,0
24,1
25,0
26,1
27,0
28,1
29,1
30,1
31,1
32,0
33,0
34,0
35,1
36,0
37,0
38,0
39,2
40,2
41,0
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,0
52,1
53,2
54,1
55,1
56,2
57,0
58,2
59,1
60,0
61,0
62,0
63,1
64,1
65,0
66,0
67,0
68,1
69,0
70,1
71,0
72,0
73,2
74,0
75,0
76,1
77,2
78,0
79,2
80,2
81,1
82,1
83,1
84,0
85,2
86,0
87,1
88,1
89,0
90,1
91,1
92,0
93,0
94,0
95,0
96,1
97,1
98,2
99,1
100,2
101,1
102,2
103,1
104,2
105,0
106,1
107,1
108,1
109,1
110,1
111,1
112,0
113,0
114,1
115,0
116,0
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,1
129,0
130,1
131,1
132,0
133,1
134,1
135,0
136,1
137,1
138,0
139,0
140,1
141,2
142,1
143,0
144,1
145,2
146,2
147,1
148,2
149,2
150,0
151,2
152,1
153,1
154,1
155,1
156,0
157,2
158,2
159,1
160,1
161,1
162,1
163,1
164,2
165,1
166,0
167,0
168,1
169,1
170,0
171,1
172,1
173,1
174,0
175,1
176,1
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,1
186,0
187,0
188,1
189,0
190,0
191,0
192,1
193,0
194,1
195,0
196,0
197,0
198,1
199,1
200,0
201,0
202,0
203,0
204,0
205,0
206,1
207,1
208,0
209,1
210,1
211,1
212,2
213,1
214,1
215,0
216,0
217,0
218,1
219,1
220,2
221,1
222,1
223,0
224,2
225,0
226,1
227,0
228,2
229,0
230,0
231,0
232,1
233,0
234,0
235,1
236,0
237,0
238,1
239,0
240,0
241,1
242,1
243,2
244,0
245,1
246,1
247,0
248,0
249,1
250,1
251,1
252,1
253,1
254,0
255,0
256,0
257,1
258,1
259,1
260,0
261,0
262,1
263,0
264,1
265,1
266,2
267,2
268,1
269,0
270,1
271,1
272,1
273,1
274,1
275,1
276,0
277,2
278,1
279,0
280,1
281,2
282,1
283,1
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,2
298,0
299,0
300,1
301,2
302,0
303,0
304,1
305,0
306,0
307,1
308,1
309,0
310,1
311,0
312,1
313,0
314,1
315,0
316,1
317,0
318,1
319,0
320,1
321,1
322,1
323,1
324,1
325,0
326,1
327,2
328,1
329,2
330,0
331,0
332,2
333,1
334,1
335,0
336,1
337,1
338,0
339,0
340,0
341,0
342,0
343,1
344,1
345,1
346,0
347,0
348,2
349,0
350,0
351,0
352,0
353,1
354,0
355,1
356,0
357,0
358,0
359,1
360,1
361,1
362,0
363,0
364,0
365,2
366,1
367,1
368,0
369,0
370,1
371,2
372,1
373,0
374,0
375,0
376,1
377,2
378,0
379,0
380,2
381,1
382,1
383,2
384,2
385,2
386,1
387,1
388,1
389,1
390,0
391,0
392,1
393,2
394,0
395,0
396,0
397,1
398,2
399,0
400,2
401,0
402,2
403,0
404,0
405,1
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,2
415,0
416,2
417,0
418,0
419,0
420,0
421,1
422,0
423,0
424,0
425,0
426,0
427,1
428,1
429,1
430,1
431,1
432,0
433,1
434,2
435,1
436,1
437,2
438,1
439,2
440,0
441,2
442,1
443,1
444,1
445,0
446,0
447,1
448,0
449,0
450,1
451,0
452,0
453,2
454,0
455,0
456,1
457,1
458,0
459,1
460,2
461,0
462,0
463,2
464,1
465,0
466,0
467,0
468,0
469,1
470,0
471,1
472,0
473,0
474,0
475,0
476,0
477,1
478,0
479,0
480,0
481,1
482,1
483,0
484,0
485,1
486,2
487,1
488,0
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,0
499,1
500,1
501,2
502,1
503,1
504,2
505,0
506,0
507,0
508,2
509,0
510,0
511,0
512,0
513,0
514,1
515,1
516,0
517,0
518,1
519,0
520,0
521,0
522,1
523,0
524,0
525,0
526,2
527,0
528,1
529,1
530,1
531,0
532,1
