,predict
0,2
1,2
2,0
3,0
4,2
5,0
6,0
7,0
8,0
9,2
10,0
11,2
12,2
13,2
14,2
15,1
16,1
17,0
18,2
19,2
20,2
21,2
22,2
23,2
24,0
25,2
26,0
27,2
28,0
29,0
30,0
31,0
32,2
33,2
34,2
35,0
36,2
37,2
38,2
39,1
40,1
41,2
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,2
52,0
53,1
54,0
55,0
56,1
57,2
58,1
59,0
60,2
61,2
62,2
63,0
64,0
65,2
66,2
67,2
68,0
69,2
70,0
71,2
72,2
73,1
74,2
75,2
76,0
77,1
78,2
79,1
80,1
81,0
82,0
83,0
84,2
85,1
86,2
87,0
88,0
89,2
90,0
91,0
92,2
93,2
94,2
95,2
96,0
97,0
98,1
99,0
100,1
101,0
102,1
103,0
104,1
105,2
106,0
107,0
108,0
109,0
110,0
111,0
112,2
113,2
114,0
115,2
116,2
117,0
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,0
129,2
130,0
131,0
132,2
133,0
134,0
135,2
136,0
137,0
138,2
139,2
140,0
141,1
142,0
143,2
144,0
145,1
146,1
147,0
148,1
149,1
150,2
151,1
152,0
153,0
154,0
155,0
156,2
157,1
158,1
159,0
160,0
161,0
162,0
163,0
164,1
165,0
166,2
167,2
168,0
169,0
170,2
171,0
172,0
173,0
174,2
175,0
176,0
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,0
186,2
187,2
188,0
189,2
190,2
191,2
192,0
193,2
194,0
195,2
196,2
197,2
198,0
199,0
200,2
201,2
202,2
203,2
204,2
205,2
206,0
207,0
208,2
209,0
210,0
211,0
212,1
213,0
214,0
215,2
216,2
217,2
218,0
219,0
220,1
221,0
222,0
223,2
224,1
225,2
226,0
227,2
228,1
229,2
230,2
231,2
232,0
233,2
234,2
235,0
236,2
237,2
238,0
239,2
240,2
241,0
242,0
243,1
244,2
245,0
246,0
247,2
248,2
249,0
250,0
251,0
252,0
253,0
254,2
255,2
256,2
257,0
258,0
259,0
260,2
261,2
262,0
263,2
264,0
265,0
266,1
267,1
268,0
269,2
270,0
271,0
272,0
273,0
274,0
275,0
276,2
277,1
278,0
279,2
280,0
281,1
282,0
283,0
284,2
285,2
286,2
287,2
288,2
289,2
290,2
291,2
292,2
293,2
294,2
295,2
296,2
297,1
298,2
299,2
300,0
301,1
302,2
303,2
304,0
305,2
306,2
307,0
308,0
309,2
310,0
311,2
312,0
313,2
314,0
315,2
316,0
317,2
318,0
319,2
320,0
321,0
322,0
323,0
324,0
325,2
326,0
327,1
328,0
329,1
330,2
331,2
332,1
333,0
334,0
335,2
336,0
337,0
338,2
339,2
340,2
341,2
342,2
343,0
344,0
345,0
346,2
347,2
348,1
349,2
350,2
351,2
352,2
353,0
354,2
355,0
356,2
357,2
358,2
359,0
360,0
361,0
362,2
363,2
364,2
365,1
366,0
367,0
368,2
369,2
370,0
371,1
372,0
373,2
374,2
375,2
376,0
377,1
378,2
379,2
380,1
381,0
382,0
383,1
384,1
385,1
386,0
387,0
388,0
389,0
390,2
391,2
392,0
393,1
394,2
395,2
396,2
397,0
398,1
399,2
400,1
401,2
402,1
403,2
404,2
405,0
406,2
407,2
408,2
409,2
410,2
411,2
412,2
413,2
414,1
415,2
416,1
417,2
418,2
419,2
420,2
421,0
422,2
423,2
424,2
425,2
426,2
427,0
428,0
429,0
430,0
431,0
432,2
433,0
434,1
435,0
436,0
437,1
438,0
439,1
440,2
441,1
442,0
443,0
444,0
445,2
446,2
447,0
448,2
449,2
450,0
451,2
452,2
453,1
454,2
455,2
456,0
457,0
458,2
459,0
460,1
461,2
462,2
463,1
464,0
465,2
466,2
467,2
468,2
469,0
470,2
471,0
472,2
473,2
474,2
475,2
476,2
477,0
478,2
479,2
480,2
481,0
482,0
483,2
484,2
485,0
486,1
487,0
488,2
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,2
499,0
500,0
501,1
502,0
503,0
504,1
505,2
506,2
507,2
508,1
509,2
510,2
511,2
512,2
513,2
514,0
515,0
516,2
517,2
518,0
519,2
520,2
521,2
522,0
523,2
524,2
525,2
526,1
527,2
528,0
529,0
530,0
531,2
532,0
533,0
534,0
535,2
536,0
537,2
538,2
539,2
540,0
541,2
542,1
543,2
544,2
545,2
546,2
