,predict
0,41
1,2
2,145
3,309
4,251
5,377
6,221
7,28
8,406
9,291
10,127
11,60
12,251
13,2
14,166
15,307
16,139
17,206
18,151
19,162
20,194
21,66
22,140
23,404
24,159
25,167
26,406
27,376
28,60
29,237
30,80
31,195
32,116
33,218
34,128
35,126
36,52
37,41
38,53
39,91
40,21
41,174
42,4
43,224
44,80
45,38
46,287
47,141
48,4
49,116
50,377
51,414
52,73
53,120
54,369
55,175
56,245
57,255
58,61
59,13
60,370
61,207
62,110
63,220
64,185
65,326
66,408
67,8
68,43
69,393
70,246
71,60
72,119
73,294
74,110
75,14
76,78
77,294
78,213
79,308
80,11
81,385
82,134
83,78
84,326
85,272
86,104
87,56
88,44
89,28
90,46
91,301
92,0
93,404
94,67
95,357
96,136
97,307
98,144
99,29
100,21
101,159
102,111
103,272
104,21
105,321
106,385
107,218
108,79
109,79
110,193
111,187
112,133
113,266
114,161
115,297
116,378
117,78
118,203
119,341
120,20
121,253
122,68
123,383
124,82
125,361
126,216
127,47
128,172
129,192
130,240
131,320
132,67
133,268
134,83
135,67
136,109
137,75
138,350
139,151
140,134
141,36
142,103
143,28
144,46
145,240
146,79
147,56
148,21
149,21
150,228
151,21
152,21
153,159
154,193
155,134
156,205
157,191
158,3
159,76
160,78
161,320
162,166
163,218
164,106
165,14
166,398
167,306
168,131
169,50
170,158
171,407
172,356
173,240
174,67
175,83
176,23
177,34
178,180
179,30
180,173
181,249
182,105
183,65
184,121
185,4
186,209
187,408
188,287
189,171
190,265
191,251
192,64
193,178
194,284
195,415
196,253
197,398
198,226
199,126
200,86
201,355
202,313
203,140
204,65
205,173
206,10
207,360
208,292
209,286
210,83
211,145
212,384
213,218
214,293
215,270
216,22
217,71
218,309
219,83
220,349
221,136
222,307
223,215
224,312
225,75
226,178
227,107
228,21
229,340
230,124
231,85
232,94
233,178
234,158
235,329
236,123
237,183
238,43
239,196
240,153
241,145
242,319
243,406
244,360
245,9
246,145
247,322
248,325
249,131
250,318
251,399
252,65
253,172
254,396
255,174
256,410
257,70
258,124
259,288
260,25
261,18
262,296
263,288
264,293
265,282
266,46
267,359
268,172
269,160
270,16
271,306
272,49
273,65
274,266
275,296
276,140
277,84
278,296
279,328
280,178
281,172
282,372
283,17
284,17
285,92
286,233
287,331
288,163
289,350
290,70
291,25
292,94
293,190
294,142
295,287
296,259
297,21
298,154
299,340
300,311
301,377
302,288
303,221
304,234
305,190
306,22
307,104
308,50
309,122
310,191
311,25
312,340
313,151
314,25
315,154
316,112
317,115
318,318
319,112
320,166
321,311
322,128
323,7
324,311
325,226
326,49
327,43
328,206
329,185
330,319
331,81
332,7
333,332
334,260
335,168
336,135
337,49
338,154
339,33
340,296
341,310
342,2
343,251
344,233
345,178
346,163
347,251
348,271
349,154
350,252
351,228
352,2
353,145
354,163
355,164
356,128
357,264
358,248
359,193
360,87
361,9
362,25
363,198
364,149
365,254
366,377
367,319
368,203
369,344
370,78
371,257
372,167
373,53
374,99
375,177
376,202
377,54
378,289
379,39
380,3
381,141
382,124
383,161
384,139
385,16
386,296
387,306
388,114
389,250
390,187
391,310
392,254
393,234
394,336
395,383
396,295
397,278
398,95
399,152
400,224
401,409
402,129
403,313
404,226
405,107
406,174
407,288
408,368
409,241
410,119
411,288
412,96
413,266
414,21
415,235
416,21
417,266
418,47
419,58
420,398
421,33
422,97
423,177
424,68
425,107
426,313
427,407
428,267
429,202
430,387
431,50
432,351
433,337
434,36
435,50
436,254
437,111
438,57
439,224
440,210
441,21
442,81
443,347
444,147
445,71
446,317
447,229
448,152
449,313
450,277
451,174
452,205
453,390
454,241
455,225
456,134
457,226
458,262
459,380
460,369
461,128
462,383
463,337
464,305
465,47
466,74
467,162
468,169
469,131
470,216
471,206
472,107
473,205
474,96
475,186
476,253
477,211
478,171
479,371
480,68
481,397
482,188
483,128
484,15
485,16
486,42
487,148
488,152
489,89
490,89
491,281
492,217
493,258
494,305
495,12
496,369
497,56
498,127
499,199
500,143
501,364
502,33
503,337
504,269
505,226
506,264
507,395
508,3
509,151
510,374
511,371
512,174
513,241
514,367
515,379
516,96
517,403
518,377
519,69
520,309
521,411
522,143
523,209
524,292
525,299
526,139
527,52
528,33
529,33
530,50
531,299
532,414
533,237
534,172
535,280
536,241
537,223
538,33
539,351
540,365
541,15
542,349
543,316
544,241
545,128
546,169
547,224
548,102
549,354
550,191
551,229
552,272
553,185
554,246
555,45
556,191
557,49
558,202
559,407
560,129
561,80
562,45
563,49
564,205
565,39
566,237
567,411
568,89
569,179
570,32
571,62
572,121
573,211
574,110
575,367
576,389
577,369
578,62
579,55
580,226
581,68
582,162
583,150
584,15
585,175
586,351
587,309
588,115
589,226
590,172
591,112
592,196
593,351
594,348
595,318
596,196
597,171
598,34
599,132
600,120
601,13
602,202
603,254
604,49
605,50
606,68
607,349
608,33
609,159
610,111
611,193
612,115
613,17
614,50
615,416
616,128
617,188
618,107
619,303
620,277
621,121
622,138
623,13
624,415
625,62
626,353
627,33
628,171
629,130
630,169
631,96
632,290
633,58
634,100
635,275
636,6
637,107
638,264
639,110
640,209
641,235
642,417
643,96
644,33
645,366
646,27
647,205
648,339
649,206
650,206
651,52
652,188
653,107
654,292
655,382
656,330
657,101
658,412
659,399
660,5
661,205
662,239
663,6
664,107
665,9
666,264
667,163
668,313
669,235
670,134
671,303
672,16
673,411
674,21
675,47
676,5
677,216
678,47
679,151
680,374
681,8
682,169
683,33
684,292
685,21
686,175
687,57
688,276
689,156
690,139
691,319
692,283
693,215
694,327
695,128
696,231
697,293
698,185
699,202
700,216
701,371
702,219
703,369
704,151
705,13
706,134
707,395
708,411
709,71
710,303
711,254
712,15
713,110
714,141
715,106
716,16
717,318
718,371
719,7
720,319
721,193
722,45
723,345
724,403
725,241
726,292
727,134
728,33
729,232
730,391
731,206
732,260
733,411
734,336
735,135
736,97
737,96
738,107
739,216
740,264
741,225
742,176
743,77
744,377
745,32
746,175
747,293
748,377
749,414
750,351
751,348
752,96
753,303
754,365
755,44
756,414
757,206
758,80
759,388
760,16
761,327
762,112
763,369
764,391
765,334
766,279
767,202
768,288
