,predict
0,336
1,107
2,380
3,11
4,83
5,267
6,178
7,34
8,273
9,207
10,413
11,268
12,154
13,232
14,408
15,260
16,95
17,272
18,54
19,62
20,258
21,150
22,83
23,307
24,123
25,232
26,378
27,201
28,151
29,187
30,393
31,378
32,202
33,54
34,400
35,178
36,43
37,278
38,319
39,248
40,218
41,253
42,267
43,101
44,378
45,396
46,318
47,412
48,181
49,396
50,131
51,178
52,184
53,243
54,204
55,333
56,261
57,372
58,21
59,294
60,127
61,311
62,414
63,184
64,211
65,383
66,43
67,411
68,286
69,339
70,16
71,143
72,54
73,31
74,185
75,232
76,265
77,5
78,383
79,192
80,148
81,198
82,331
83,251
84,2
85,375
86,223
87,396
88,130
89,146
90,164
91,178
92,54
93,308
94,328
95,232
96,133
97,264
98,24
99,301
100,23
101,279
102,122
103,235
104,40
105,91
106,239
107,36
108,277
109,145
110,178
111,90
112,278
113,255
114,263
115,83
116,201
117,263
118,207
119,83
120,20
121,328
122,249
123,43
124,43
125,128
126,34
127,111
128,168
129,223
130,66
131,332
132,147
133,333
134,89
135,316
136,197
137,177
138,223
139,227
140,191
141,174
142,100
143,338
144,204
145,195
146,174
147,47
148,126
149,350
150,39
151,67
152,280
153,333
154,396
155,56
156,327
157,293
158,25
159,238
160,254
161,22
162,251
163,389
164,64
165,275
166,257
167,298
168,7
169,379
170,163
171,131
172,106
173,315
174,339
175,271
176,10
177,91
178,336
179,45
180,87
181,3
182,244
183,337
184,54
185,273
186,66
187,227
188,251
189,370
190,268
191,66
192,325
193,257
194,208
195,317
196,105
197,294
198,140
199,24
200,54
201,348
202,317
203,101
204,73
205,194
206,29
207,116
208,26
209,301
210,403
211,413
212,42
213,130
214,351
215,317
216,351
217,73
218,115
219,115
220,230
221,331
222,71
223,199
224,59
225,108
226,168
227,200
228,81
229,114
230,353
231,119
232,52
233,66
234,365
235,32
236,183
237,304
238,285
239,185
240,14
241,404
242,130
243,41
244,232
245,78
246,292
247,265
248,304
249,156
250,303
251,297
252,251
253,208
254,392
255,327
256,207
257,342
258,323
259,369
260,244
261,236
262,108
263,328
264,24
265,386
266,375
267,375
268,205
269,194
270,168
271,68
272,369
273,251
274,303
275,108
276,278
277,323
278,30
279,290
280,333
281,205
282,168
283,156
284,339
285,111
286,398
287,370
288,327
289,43
290,0
291,83
292,207
293,306
294,282
295,144
296,317
297,149
298,328
299,336
300,184
301,174
302,257
303,257
304,275
305,255
306,227
307,332
308,267
309,89
310,264
311,103
312,189
313,265
314,15
315,257
316,303
317,62
318,275
319,177
320,140
321,251
322,34
323,303
324,170
325,404
326,285
327,70
328,24
329,377
330,127
331,372
332,175
333,184
334,140
335,89
336,198
337,303
338,391
339,111
340,310
341,121
342,376
343,325
344,323
345,162
346,252
347,111
348,188
349,249
350,385
351,196
352,66
353,301
354,381
355,332
356,336
357,383
358,385
359,219
360,140
361,190
362,88
363,97
364,320
365,51
366,264
367,11
368,337
369,390
370,303
371,329
372,325
373,223
374,227
375,320
376,130
377,262
378,227
379,223
380,53
381,297
382,416
383,352
384,70
385,141
386,190
387,369
388,11
389,267
390,236
391,85
392,36
393,188
394,223
395,91
396,160
397,238
398,12
399,385
400,76
401,63
402,58
403,252
404,403
405,68
406,102
407,132
408,307
409,383
410,278
411,83
412,89
413,408
414,84
415,383
416,93
417,414
418,83
419,381
420,310
421,351
422,385
423,91
424,252
425,232
426,194
427,179
428,210
429,90
430,228
431,202
432,26
433,412
434,124
435,225
436,50
437,295
438,251
439,182
440,368
441,284
442,202
443,90
444,113
445,337
446,354
447,202
448,414
449,209
450,115
451,185
452,207
453,334
454,288
455,62
456,115
457,384
458,232
459,343
460,99
461,105
462,328
463,204
464,60
465,245
466,109
467,300
468,18
469,116
470,105
471,253
472,414
473,244
474,160
475,83
476,258
477,177
478,185
479,207
480,147
481,165
482,258
483,403
484,223
485,368
486,340
487,253
488,102
489,324
490,47
491,324
492,24
493,206
494,297
495,123
496,413
497,386
498,187
499,115
500,101
501,155
502,255
503,97
504,366
505,414
506,83
507,362
508,161
509,403
510,401
511,147
512,322
513,406
514,65
515,342
516,314
517,207
518,108
519,187
520,199
521,252
522,152
523,328
524,34
525,54
526,367
527,63
528,417
529,152
530,82
531,18
532,368
533,36
534,50
535,359
536,116
537,244
538,381
539,105
540,360
541,408
542,124
543,321
544,207
545,105
546,232
547,202
548,232
549,301
550,334
551,397
552,299
553,206
554,50
555,171
556,416
557,214
558,214
559,86
560,339
561,414
562,251
563,17
564,207
565,317
566,238
567,414
568,410
569,408
570,315
571,151
572,3
573,324
