,predict
0,89
1,102
2,35
3,239
4,284
5,384
6,306
7,333
8,132
9,128
10,98
11,39
12,316
13,71
14,71
15,263
16,54
17,58
18,71
19,285
20,341
21,72
22,269
23,350
24,239
25,284
26,379
27,164
28,271
29,235
30,335
31,16
32,259
33,155
34,151
35,268
36,190
37,232
38,310
39,86
40,84
41,325
42,262
43,105
44,379
45,104
46,404
47,328
48,53
49,323
50,293
51,306
52,230
53,54
54,173
55,299
56,130
57,160
58,9
59,16
60,229
61,102
62,360
63,131
64,340
65,116
66,190
67,103
68,249
69,167
70,160
71,229
72,155
73,170
74,200
75,331
76,253
77,225
78,168
79,290
80,394
81,133
82,16
83,199
84,394
85,228
86,0
87,271
88,237
89,1
90,170
91,124
92,188
93,239
94,284
95,301
96,73
97,98
98,233
99,124
100,247
101,328
102,220
103,101
104,19
105,310
106,158
107,343
108,30
109,78
110,276
111,255
112,322
113,252
114,170
115,410
116,164
117,323
118,155
119,89
120,2
121,360
122,362
123,190
124,190
125,346
126,0
127,164
128,90
129,409
130,131
131,203
132,260
133,299
134,193
135,275
136,95
137,148
138,229
139,253
140,366
141,345
142,309
143,142
144,94
145,120
146,345
147,356
148,178
149,290
150,144
151,247
152,349
153,88
154,233
155,226
156,101
157,201
158,332
159,203
160,202
161,48
162,254
163,391
164,55
165,25
166,408
167,211
168,88
169,233
170,65
171,90
172,343
173,347
174,344
175,276
176,15
177,200
178,400
179,281
180,119
181,274
182,209
183,145
184,286
185,166
186,105
187,350
188,175
189,115
190,282
191,344
192,175
193,232
194,394
195,71
196,188
197,131
198,401
199,323
200,168
201,189
202,313
203,105
204,210
205,411
206,6
207,250
208,33
209,379
210,344
211,259
212,342
213,170
214,167
215,128
216,253
217,91
218,124
219,18
220,104
221,80
222,50
223,251
224,13
225,45
226,203
227,67
228,395
229,108
230,389
231,100
232,169
233,338
234,416
235,44
236,206
237,8
238,166
239,46
240,194
241,25
242,98
243,359
244,71
245,169
246,299
247,141
248,264
249,10
250,230
251,239
252,148
253,124
254,180
255,32
256,301
257,18
258,356
259,16
260,266
261,336
262,379
263,168
264,58
265,173
266,228
267,90
268,104
269,410
270,221
271,344
272,230
273,394
274,401
275,16
276,232
277,172
278,75
279,253
280,148
281,214
282,354
283,358
284,77
285,164
286,14
287,186
288,229
289,190
290,268
291,24
292,128
293,222
294,121
295,52
296,289
297,123
298,360
299,400
300,58
301,405
302,408
303,23
304,125
305,167
306,253
307,25
308,277
309,408
310,98
311,336
312,248
313,245
314,365
315,170
316,338
317,350
318,25
319,324
320,37
321,148
322,25
323,16
324,259
325,167
326,166
327,4
328,195
329,111
330,135
331,160
332,187
333,202
334,338
335,70
336,216
337,396
338,394
339,285
340,101
341,307
342,64
343,37
344,73
345,86
346,385
347,164
348,195
349,224
350,260
351,415
352,105
353,64
354,143
355,203
356,400
357,89
358,269
359,0
360,58
361,203
362,12
363,285
364,106
365,92
366,98
367,387
368,200
369,163
370,37
371,405
372,148
373,210
374,253
375,373
376,58
377,295
378,77
379,229
380,54
381,58
382,214
383,104
384,4
385,270
386,239
387,230
388,272
389,233
390,257
391,94
392,335
393,33
394,336
395,303
396,159
397,90
398,370
399,260
400,136
401,59
402,405
403,284
404,322
405,37
406,279
407,266
408,193
409,116
410,162
411,200
412,297
413,188
414,319
415,303
416,36
417,168
418,269
419,93
420,74
421,227
422,331
423,89
424,116
425,188
426,43
427,111
428,246
429,252
430,61
431,233
432,98
433,389
434,256
435,111
436,382
437,54
438,299
439,413
440,113
441,214
442,382
443,33
444,87
445,145
446,324
447,241
448,411
449,85
450,367
451,197
452,411
453,239
454,310
455,101
456,57
457,243
458,331
459,28
460,38
461,79
462,292
463,173
464,11
465,155
466,99
467,244
468,56
469,66
470,79
471,382
472,292
473,285
474,285
475,385
476,34
477,324
478,351
479,411
480,417
481,308
482,160
483,233
484,199
485,173
486,152
487,293
488,1
489,173
490,90
491,54
492,98
493,64
494,33
495,394
496,241
497,74
498,235
499,57
500,113
501,149
502,0
503,394
504,240
505,208
506,116
507,219
508,31
509,233
510,68
511,331
512,188
513,176
514,287
515,271
516,381
517,43
518,347
519,63
520,188
521,116
522,79
523,128
524,25
525,286
526,209
527,59
528,388
529,328
530,17
531,56
532,105
533,152
534,54
535,320
536,344
537,210
538,199
539,79
540,257
541,188
542,363
543,206
544,155
545,34
546,168
547,382
548,284
549,347
550,64
551,214
552,114
553,343
554,241
555,118
556,296
557,244
558,244
559,395
560,77
561,292
562,88
563,245
564,155
565,289
566,296
567,208
568,334
569,188
570,300
571,86
572,274
573,382
574,321
575,316
576,289
577,203
578,124
579,104
580,267
581,71
582,198
583,125
584,157
585,24
586,385
587,118
588,34
589,274
590,73
591,141
592,326
593,1
594,273
595,301
596,145
597,390
598,89
599,310
600,71
601,355
602,138
603,64
604,7
605,64
606,26
607,64
608,71
609,148
610,161
611,82
612,215
613,289
614,223
615,304
616,34
617,237
618,218
619,1
620,330
621,1
622,265
623,375
624,92
625,165
626,198
627,184
628,161
629,335
630,348
631,303
632,218
633,116
634,407
635,166
636,26
637,32
638,1
639,311
640,70
641,269
642,148
643,232
644,316
645,131
646,42
647,245
648,325
649,58
650,361
651,56
652,214
653,143
654,221
655,392
656,91
657,332
658,356
659,70
660,266
661,91
662,32
663,81
664,77
665,112
666,59
667,159
668,88
669,56
670,335
671,184
672,16
673,81
674,247
675,56
676,278
677,179
678,70
679,258
680,129
681,376
682,258
683,203
684,14
685,20
686,45
687,159
688,113
689,35
690,154
691,318
692,70
693,45
694,113
695,354
696,70
697,166
698,153
699,124
700,32
701,70
702,70
703,23
704,221
705,252
706,239
707,268
708,257
709,70
710,77
711,76
712,253
713,412
714,268
715,406
716,14
717,293
718,0
719,323
720,382
721,225
722,45
723,45
724,148
725,234
726,302
727,124
728,124
729,175
730,383
731,106
732,70
733,170
734,217
735,171
736,392
737,222
738,257
739,267
740,56
741,162
742,106
743,143
744,64
745,49
746,232
747,40
748,90
749,347
750,90
751,21
752,387
753,32
754,150
755,296
756,131
757,132
758,304
759,193
760,139
761,354
762,285
763,225
764,54
765,171
766,107
767,350
768,0
769,139
770,201
771,32
772,111
773,232
774,58
775,124
776,316
777,152
778,356
779,306
780,267
781,94
782,70
783,162
784,131
785,77
786,392
787,369
788,187
789,221
790,146
791,345
792,314
793,232
794,361
795,185
796,252
797,242
798,217
799,81
800,161
801,221
802,255
803,210
804,165
805,255
806,261
807,90
808,73
809,290
810,237
811,325
812,171
813,124
814,239
815,146
816,305
817,356
818,202
819,129
820,369
821,382
822,252
823,277
824,338
825,232
826,70
827,187
828,74
829,336
830,170
831,254
832,414
833,253
834,202
835,212
836,283
837,387
838,268
839,187
840,353
841,356
842,183
843,40
844,377
845,139
846,403
847,177
848,41
849,202
850,283
851,245
852,356
853,21
854,356
855,14
856,217
857,129
858,257
859,141
860,183
861,124
862,393
863,393
864,45
865,266
866,325
867,25
868,338
869,81
870,254
871,104
872,204
873,368
874,77
875,259
876,338
877,32
878,129
879,66
880,300
881,401
882,183
883,271
884,237
885,259
886,343
887,131
888,88
889,242
890,141
891,378
892,399
893,54
894,374
895,353
896,132
897,353
898,406
899,300
900,32
901,105
902,73
903,288
904,228
905,352
906,113
907,21
908,90
909,25
910,236
911,174
912,112
913,343
914,62
915,23
916,259
917,399
918,353
919,196
920,82
921,141
922,106
923,106
924,300
925,112
926,353
927,399
928,58
929,293
930,403
931,81
932,242
933,294
934,22
935,124
936,21
937,372
938,336
939,387
940,40
941,353
942,80
943,234
944,325
945,329
946,209
947,268
948,96
949,171
950,201
951,181
952,228
953,225
954,182
955,94
956,207
957,98
958,88
959,29
960,58
961,83
962,312
963,398
964,73
965,140
966,324
967,337
968,134
969,162
970,227
971,386
972,54
973,106
974,3
975,106
976,179
977,109
978,258
979,252
980,64
981,148
982,354
983,132
984,60
985,41
986,403
987,32
988,258
989,143
990,364
991,294
992,40
993,88
994,380
995,161
996,268
997,343
998,124
999,162
1000,126
1001,354
1002,156
1003,183
1004,113
1005,255
1006,106
1007,232
1008,252
1009,338
1010,352
1011,300
1012,110
1013,104
1014,300
1015,77
1016,217
1017,254
1018,409
1019,162
1020,366
1021,392
1022,243
1023,412
1024,300
1025,175
1026,184
1027,195
1028,315
1029,129
1030,162
1031,327
1032,371
1033,243
1034,350
1035,254
1036,242
1037,369
1038,203
1039,192
1040,357
1041,80
1042,58
1043,5
1044,54
1045,405
1046,238
1047,255
1048,114
1049,171
1050,203
1051,54
1052,58
1053,88
1054,175
1055,356
1056,222
1057,203
1058,338
1059,81
1060,317
1061,217
1062,54
1063,243
1064,412
1065,242
1066,193
1067,402
1068,300
1069,222
1070,124
1071,252
1072,243
1073,139
1074,232
1075,137
1076,110
1077,147
1078,339
1079,202
1080,132
1081,255
1082,345
1083,210
1084,32
1085,234
1086,339
1087,70
1088,106
1089,60
1090,69
1091,171
1092,409
1093,0
1094,143
1095,45
1096,171
1097,299
1098,122
1099,337
1100,239
1101,91
1102,191
1103,396
1104,306
1105,210
1106,243
1107,356
1108,101
1109,337
1110,306
1111,127
1112,298
1113,74
1114,239
1115,344
1116,227
1117,80
1118,290
1119,338
1120,0
1121,21
1122,117
1123,337
1124,80
1125,92
1126,124
1127,401
1128,271
1129,51
1130,337
1131,86
1132,139
1133,47
1134,209
1135,298
1136,396
1137,228
1138,33
1139,74
1140,213
1141,199
1142,241
1143,125
1144,408
1145,98
1146,205
1147,337
1148,91
1149,148
1150,229
1151,243
1152,280
1153,86
1154,56
1155,324
1156,397
1157,32
1158,209
1159,94
1160,337
1161,231
1162,90
1163,276
1164,21
1165,202
1166,393
1167,86
1168,56
1169,209
1170,349
1171,101
1172,396
1173,356
1174,225
1175,105
1176,254
1177,387
1178,290
1179,225
1180,86
1181,97
1182,209
1183,35
1184,396
1185,271
1186,209
1187,363
1188,33
1189,271
1190,154
1191,86
1192,199
1193,396
1194,101
1195,361
1196,27
1197,86
1198,356
1199,291
