,label
442.0,2
43.0,1
490.0,2
334.0,0
331.0,0
404.0,2
230.0,0
455.0,2
599.0,2
93.0,1
426.0,2
156.0,1
282.0,0
181.0,1
116.0,1
314.0,0
564.0,2
226.0,0
399.0,0
427.0,2
378.0,0
212.0,0
227.0,0
221.0,0
72.0,1
268.0,0
556.0,2
366.0,0
320.0,0
202.0,0
74.0,1
297.0,0
24.0,1
502.0,2
248.0,0
64.0,1
159.0,1
164.0,1
196.0,1
55.0,1
521.0,2
546.0,2
597.0,2
273.0,0
166.0,1
450.0,2
578.0,2
430.0,2
452.0,2
26.0,1
516.0,2
229.0,0
416.0,2
285.0,0
591.0,2
105.0,1
369.0,0
114.0,1
91.0,1
549.0,2
361.0,0
309.0,0
431.0,2
590.0,2
121.0,1
49.0,1
203.0,0
570.0,2
22.0,1
179.0,1
157.0,1
234.0,0
145.0,1
178.0,1
363.0,0
101.0,1
441.0,2
436.0,2
42.0,1
477.0,2
41.0,1
589.0,2
327.0,0
381.0,0
204.0,0
125.0,1
175.0,1
480.0,2
316.0,0
554.0,2
95.0,1
182.0,1
20.0,1
456.0,2
462.0,2
497.0,2
188.0,1
580.0,2
350.0,0
483.0,2
231.0,0
0.0,1
184.0,1
142.0,1
270.0,0
395.0,0
211.0,0
30.0,1
526.0,2
148.0,1
120.0,1
571.0,2
191.0,1
514.0,2
147.0,1
284.0,0
246.0,0
585.0,2
330.0,0
509.0,2
459.0,2
27.0,1
261.0,0
216.0,0
189.0,1
308.0,0
576.0,2
267.0,0
70.0,1
31.0,1
333.0,0
415.0,2
373.0,0
21.0,1
583.0,2
78.0,1
522.0,2
295.0,0
345.0,0
383.0,0
233.0,0
223.0,0
277.0,0
160.0,1
338.0,0
575.0,2
287.0,0
384.0,0
258.0,0
52.0,1
292.0,0
294.0,0
94.0,1
274.0,0
336.0,0
104.0,1
528.0,2
494.0,2
535.0,2
584.0,2
241.0,0
317.0,0
6.0,1
458.0,2
289.0,0
534.0,2
347.0,0
313.0,0
468.0,2
37.0,1
432.0,2
128.0,1
588.0,2
344.0,0
165.0,1
326.0,0
474.0,2
38.0,1
351.0,0
90.0,1
12.0,1
553.0,2
286.0,0
144.0,1
310.0,0
469.0,2
435.0,2
25.0,1
463.0,2
163.0,1
81.0,1
508.0,2
1.0,1
566.0,2
19.0,1
29.0,1
573.0,2
71.0,1
83.0,1
291.0,0
53.0,1
278.0,0
173.0,1
541.0,2
464.0,2
103.0,1
560.0,2
32.0,1
149.0,1
4.0,1
218.0,0
239.0,0
235.0,0
84.0,1
127.0,1
143.0,1
126.0,1
152.0,1
531.0,2
240.0,0
80.0,1
117.0,1
318.0,0
23.0,1
519.0,2
346.0,0
446.0,2
61.0,1
108.0,1
337.0,0
581.0,2
471.0,2
44.0,1
306.0,0
89.0,1
232.0,0
437.0,2
492.0,2
168.0,1
398.0,0
220.0,0
167.0,1
225.0,0
368.0,0
7.0,1
488.0,2
115.0,1
538.0,2
355.0,0
495.0,2
245.0,0
136.0,1
403.0,2
499.0,2
397.0,0
543.0,2
453.0,2
491.0,2
405.0,2
539.0,2
293.0,0
561.0,2
183.0,1
219.0,0
279.0,0
386.0,0
421.0,2
228.0,0
10.0,1
572.0,2
28.0,1
448.0,2
207.0,0
393.0,0
124.0,1
69.0,1
161.0,1
194.0,1
137.0,1
487.0,2
406.0,2
112.0,1
325.0,0
388.0,0
100.0,1
343.0,0
312.0,0
341.0,0
444.0,2
536.0,2
524.0,2
110.0,1
283.0,0
281.0,0
407.0,2
187.0,1
122.0,1
429.0,2
387.0,0
558.0,2
92.0,1
410.0,2
529.0,2
195.0,1
62.0,1
586.0,2
174.0,1
18.0,1
496.0,2
45.0,1
302.0,0
557.0,2
130.0,1
542.0,2
50.0,1
97.0,1
197.0,1
215.0,0
238.0,0
478.0,2
594.0,2
525.0,2
63.0,1
440.0,2
461.0,2
169.0,1
247.0,0
257.0,0
251.0,0
428.0,2
269.0,0
479.0,2
592.0,2
153.0,1
76.0,1
375.0,0
40.0,1
517.0,2
523.0,2
65.0,1
548.0,2
206.0,0
8.0,1
77.0,1
58.0,1
447.0,2
250.0,0
485.0,2
424.0,2
377.0,0
119.0,1
579.0,2
574.0,2
319.0,0
364.0,0
412.0,2
141.0,1
454.0,2
88.0,1
568.0,2
307.0,0
300.0,0
323.0,0
460.0,2
254.0,0
372.0,0
321.0,0
60.0,1
486.0,2
349.0,0
391.0,0
414.0,2
324.0,0
518.0,2
385.0,0
413.0,2
419.0,2
256.0,0
433.0,2
301.0,0
582.0,2
296.0,0
315.0,0
555.0,2
46.0,1
86.0,1
109.0,1
360.0,0
133.0,1
16.0,1
493.0,2
303.0,0
