name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
netherland,2022-02-01,15.7,-1.2,7.8,15.7,-1.2,7.4,-4.9,43.5,0,0,0,,0,0,38.9,20.2,189.5,1021.4,7.6,16,162.5,14,7,10,2022-02-01T06:42:40,2022-02-01T17:08:11,0.02,Clear,Clear conditions throughout the day.,clear-day,"72327400372,99999963855,KSRB,D3823,K8A3,TR889"
netherland,2022-02-02,11.5,8.7,9.7,11.5,6,8.3,5.5,76.9,13.365,100,66.67,rain,0,0,55.4,25.8,182.2,1018.4,86.8,11.8,27.2,2.3,1,10,2022-02-02T06:41:51,2022-02-02T17:09:15,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72327400372,99999963855,TT542,KSRB,D3823,K8A3"
netherland,2022-02-03,12.5,0.6,8.9,12.5,-3.2,7.8,8.1,95.2,26.857,100,75,rain,0,0,50.4,16.7,145.7,1014.1,99.3,9.9,10.8,0.8,1,10,2022-02-03T06:41:01,2022-02-03T17:10:19,0.08,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72327400372,99999963855,KSRB,D3823,K8A3,TR889"
netherland,2022-02-04,0.5,-3.6,-1.8,-2.5,-7.7,-5.6,-2.5,95.1,0.371,100,12.5,"rain,freezingrain,snow,ice",0.6,0.2,25.9,13.9,334,1022.7,100,11.7,27.1,2.3,1,10,2022-02-04T06:40:09,2022-02-04T17:11:22,0.11,"Snow, Rain, Freezing Drizzle/Freezing Rain, Ice, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,snow,"72327400372,99999963855,KSRB,D3823,K8A3,TR889"
netherland,2022-02-05,-0.1,-8.1,-4.3,-3,-10.4,-6.1,-9,72.6,0,0,0,,0,0.1,27.7,13.5,0.7,1030,9.7,16,176,15.3,7,10,2022-02-05T06:39:15,2022-02-05T17:12:26,0.15,Clear,Clear conditions throughout the day.,clear-day,"72327400372,99999963855,KSRB,D3823,K8A3,TR889"
netherland,2022-02-06,8.8,-6.2,0.6,7.7,-6.2,-0.2,-6.1,64,0,0,0,,0,0,31.3,12.5,215.9,1025.5,0,16,160.4,14.1,6,10,2022-02-06T06:38:20,2022-02-06T17:13:29,0.18,Clear,Clear conditions throughout the day.,clear-day,"72327400372,99999963855,72325003847,KCSV,KSRB,D3823,K8A3,TR889"
netherland,2022-02-07,8.5,-3.9,1.7,6.8,-4.3,0.8,-5,63.8,0,0,0,,0,0,29.5,12.8,297.7,1022.5,1.2,16,157.9,13.7,6,10,2022-02-07T06:37:24,2022-02-07T17:14:33,0.21,Clear,Clear conditions throughout the day.,clear-day,"72327400372,99999963855,KSRB,K8A3,TR889"
netherland,2022-02-08,10.7,-6.3,1.3,10.7,-6.3,0.7,-5.5,64.3,0,0,0,,0,0,27.7,12.4,246.4,1021.1,0,16,161,14,7,10,2022-02-08T06:36:26,2022-02-08T17:15:35,0.25,Clear,Clear conditions throughout the day.,clear-day,"72327400372,99999963855,KSRB,D3823,K8A3,TR889"
netherland,2022-02-09,14.3,-4.2,5.7,14.3,-4.2,5.2,-3.9,54.2,0,0,0,,0,0,50.1,26.4,246.2,1015.1,20,16,152.3,13.1,7,10,2022-02-09T06:35:27,2022-02-09T17:16:38,0.28,Clear,Partly cloudy throughout the day.,clear-day,"72327400372,99999963855,72325003847,KSRB,D3823,K8A3"
netherland,2022-02-10,12.9,-1.5,5,12.9,-2.6,4.7,-4,55.3,0,0,0,,0,0,44.6,20.2,261.7,1016.3,6.2,16,180.9,15.5,7,10,2022-02-10T06:34:27,2022-02-10T17:17:41,0.31,Clear,Clear conditions throughout the day.,clear-day,"72327400372,99999963855,72325003847,KCSV,KSRB,D3823,K8A3"
