,label
4323.0,2
6530.0,3
2101.0,0
1488.0,1
1892.0,0
4463.0,2
2348.0,0
6974.0,3
6633.0,3
5806.0,3
5958.0,3
152.0,1
4751.0,2
6466.0,3
3142.0,0
4961.0,2
5811.0,3
5820.0,3
6054.0,3
1984.0,0
4045.0,2
4832.0,2
4023.0,2
137.0,1
1138.0,1
368.0,1
4487.0,2
3597.0,0
5963.0,3
5282.0,2
854.0,1
2516.0,0
4953.0,2
1018.0,1
6158.0,3
5603.0,3
2211.0,0
1738.0,1
248.0,1
5168.0,2
2420.0,0
2456.0,0
4091.0,2
3740.0,2
5911.0,3
1953.0,0
608.0,1
4909.0,2
5663.0,3
2465.0,0
5834.0,3
4154.0,2
808.0,1
2308.0,0
6725.0,3
2542.0,0
6367.0,3
882.0,1
5728.0,3
4403.0,2
4527.0,2
7107.0,3
188.0,1
3688.0,2
6396.0,3
1971.0,0
2285.0,0
4900.0,2
429.0,1
4622.0,2
7046.0,3
549.0,1
1868.0,0
4038.0,2
7190.0,3
3950.0,2
5366.0,2
5460.0,3
2986.0,0
4543.0,2
1882.0,0
4884.0,2
5518.0,3
1680.0,1
4588.0,2
5523.0,3
6529.0,3
2650.0,0
3973.0,2
1044.0,1
444.0,1
168.0,1
3972.0,2
4624.0,2
2350.0,0
2121.0,0
2892.0,0
4627.0,2
7074.0,3
5170.0,2
5202.0,2
5640.0,3
6818.0,3
1445.0,1
6674.0,3
653.0,1
2431.0,0
2750.0,0
5770.0,3
2319.0,0
6.0,1
4875.0,2
5541.0,3
5720.0,3
1234.0,1
2107.0,0
2939.0,0
2189.0,0
949.0,1
5712.0,3
3827.0,2
4061.0,2
5398.0,2
4338.0,2
3265.0,0
2540.0,0
6343.0,3
4789.0,2
5816.0,3
3733.0,2
3436.0,0
3223.0,0
1672.0,1
3485.0,0
2476.0,0
7043.0,3
374.0,1
6256.0,3
6093.0,3
984.0,1
2682.0,0
1777.0,1
6456.0,3
2284.0,0
1247.0,1
4329.0,2
7004.0,3
3202.0,0
6687.0,3
4318.0,2
6427.0,3
966.0,1
5569.0,3
2875.0,0
7105.0,3
1088.0,1
2086.0,0
6776.0,3
6078.0,3
5610.0,3
449.0,1
3867.0,2
7137.0,3
3117.0,0
5753.0,3
5584.0,3
4573.0,2
3190.0,0
742.0,1
7104.0,3
6518.0,3
5796.0,3
1113.0,1
6234.0,3
5194.0,2
2835.0,0
4857.0,2
5329.0,2
2851.0,0
4449.0,2
6371.0,3
1043.0,1
451.0,1
320.0,1
3179.0,0
4916.0,2
370.0,1
6820.0,3
6807.0,3
6161.0,3
1772.0,1
2606.0,0
6819.0,3
7183.0,3
4292.0,2
613.0,1
4086.0,2
5749.0,3
2861.0,0
1464.0,1
1087.0,1
6143.0,3
332.0,1
5528.0,3
6598.0,3
3133.0,0
1909.0,0
2932.0,0
6001.0,3
2690.0,0
5370.0,2
644.0,1
4763.0,2
2641.0,0
6471.0,3
4211.0,2
5783.0,3
4130.0,2
289.0,1
5619.0,3
569.0,1
1127.0,1
1798.0,1
5507.0,3
970.0,1
66.0,1
6112.0,3
2977.0,0
1719.0,1
5654.0,3
4.0,1
1244.0,1
6540.0,3
3848.0,2
2063.0,0
433.0,1
967.0,1
5298.0,2
264.0,1
4448.0,2
6162.0,3
2422.0,0
6221.0,3
1011.0,1
3804.0,2
1999.0,0
6596.0,3
5376.0,2
7049.0,3
3257.0,0
1577.0,1
3888.0,2
6057.0,3
5408.0,3
6266.0,3
6639.0,3
4450.0,2
1370.0,1
4807.0,2
1635.0,1
4190.0,2
97.0,1
2070.0,0
74.0,1
4335.0,2
5400.0,3
1756.0,1
2735.0,0
1778.0,1
4047.0,2
5636.0,3
4411.0,2
2310.0,0
2343.0,0
607.0,1
5387.0,2
3308.0,0
6451.0,3
1841.0,0
5212.0,2
1963.0,0
2083.0,0
3873.0,2
2821.0,0
1717.0,1
4991.0,2
4570.0,2
5003.0,2
4371.0,2
2364.0,0
3480.0,0
5101.0,2
222.0,1
2390.0,0
4218.0,2
1839.0,0
5939.0,3
5428.0,3
6273.0,3
6450.0,3
4759.0,2
3887.0,2
3586.0,0
4572.0,2
6988.0,3
4341.0,2
6719.0,3
1024.0,1
4946.0,2
4960.0,2
381.0,1
6810.0,3
6672.0,3
5335.0,2
6165.0,3
1091.0,1
1518.0,1
3575.0,0
4225.0,2
4663.0,2
3256.0,0
884.0,1
577.0,1
2547.0,0
4699.0,2
2196.0,0
2051.0,0
1544.0,1
2416.0,0
3649.0,2
5585.0,3
6696.0,3
2238.0,0
3363.0,0
2405.0,0
4800.0,2
42.0,1
4337.0,2
2725.0,0
1767.0,1
3611.0,2
4210.0,2
2126.0,0
2585.0,0
2526.0,0
6448.0,3
1813.0,0
5433.0,3
4836.0,2
6990.0,3
3442.0,0
4260.0,2
5116.0,2
4803.0,2
6708.0,3
5853.0,3
3855.0,2
1313.0,1
1843.0,0
5547.0,3
5989.0,3
4794.0,2
1576.0,1
1435.0,1
2853.0,0
2024.0,0
4925.0,2
1489.0,1
418.0,1
11.0,1
4253.0,2
605.0,1
3569.0,0
1295.0,1
6699.0,3
3124.0,0
3618.0,2
2283.0,0
2400.0,0
4634.0,2
1271.0,1
4654.0,2
646.0,1
1661.0,1
5216.0,2
2273.0,0
2765.0,0
5107.0,2
4395.0,2
7083.0,3
7164.0,3
3771.0,2
7023.0,3
7115.0,3
3023.0,0
4412.0,2
5744.0,3
4444.0,2
2970.0,0
3989.0,2
4077.0,2
1986.0,0
4024.0,2
466.0,1
4200.0,2
5143.0,2
2715.0,0
209.0,1
5549.0,3
3563.0,0
4616.0,2
5754.0,3
6710.0,3
6994.0,3
427.0,1
6588.0,3
2678.0,0
1108.0,1
1929.0,0
3029.0,0
4927.0,2
1189.0,1
3880.0,2
803.0,1
2949.0,0
4294.0,2
4704.0,2
746.0,1
5698.0,3
5164.0,2
1193.0,1
3995.0,2
7051.0,3
3980.0,2
1355.0,1
1692.0,1
976.0,1
872.0,1
3533.0,0
5625.0,3
2699.0,0
85.0,1
3001.0,0
5161.0,2
3790.0,2
476.0,1
1054.0,1
5559.0,3
3644.0,2
3646.0,2
784.0,1
1115.0,1
2424.0,0
4873.0,2
2092.0,0
5623.0,3
3872.0,2
6604.0,3
452.0,1
1404.0,1
5453.0,3
893.0,1
328.0,1
3036.0,0
6635.0,3
1887.0,0
1362.0,1
1364.0,1
4640.0,2
1066.0,1
2482.0,0
6030.0,3
3241.0,0
902.0,1
43.0,1
4929.0,2
1119.0,1
290.0,1
5495.0,3
6686.0,3
5573.0,3
3587.0,0
1665.0,1
3935.0,2
2034.0,0
3428.0,0
4389.0,2
1674.0,1
4567.0,2
3460.0,0
5014.0,2
6552.0,3
238.0,1
7151.0,3
5699.0,3
6827.0,3
6404.0,3
6282.0,3
2143.0,0
2732.0,0
6265.0,3
5681.0,3
6636.0,3
4275.0,2
2752.0,0
2440.0,0
5240.0,2
6397.0,3
4842.0,2
1906.0,0
3475.0,0
5372.0,2
3404.0,0
5690.0,3
5087.0,2
1565.0,1
3529.0,0
495.0,1
7120.0,3
3456.0,0
2166.0,0
4406.0,2
879.0,1
6403.0,3
4805.0,2
104.0,1
186.0,1
2988.0,0
1974.0,0
4995.0,2
1459.0,1
299.0,1
4827.0,2
1542.0,1
2371.0,0
1620.0,1
6753.0,3
5364.0,2
1344.0,1
765.0,1
552.0,1
1567.0,1
2868.0,0
6624.0,3
5917.0,3
3680.0,2
1057.0,1
598.0,1
775.0,1
5065.0,2
1515.0,1
1071.0,1
6168.0,3
1967.0,0
923.0,1
2263.0,0
3225.0,0
2749.0,0
2943.0,0
6350.0,3
4396.0,2
411.0,1
2155.0,0
4324.0,2
6424.0,3
4650.0,2
4460.0,2
5115.0,2
3863.0,2
2137.0,0
6026.0,3
6555.0,3
694.0,1
4417.0,2
5028.0,2
3002.0,0
1915.0,0
5030.0,2
1838.0,0
132.0,1
477.0,1
6646.0,3
1250.0,1
5851.0,3
905.0,1
2685.0,0
1417.0,1
236.0,1
6971.0,3
5295.0,2
790.0,1
2883.0,0
7127.0,3
4956.0,2
2564.0,0
706.0,1
5676.0,3
5950.0,3
1083.0,1
704.0,1
6898.0,3
935.0,1
3479.0,0
5696.0,3
3760.0,2
2381.0,0
1285.0,1
3747.0,2
1896.0,0
3883.0,2
2430.0,0
4044.0,2
5897.0,3
1318.0,1
2755.0,0
5979.0,3
5369.0,2
2769.0,0
4497.0,2
6156.0,3
547.0,1
2668.0,0
3352.0,0
5964.0,3
5792.0,3
5981.0,3
6962.0,3
1723.0,1
3605.0,2
925.0,1
5835.0,3
4743.0,2
1369.0,1
1277.0,1
6332.0,3
2413.0,0
352.0,1
5388.0,2
1462.0,1
2873.0,0
3540.0,0
6748.0,3
3511.0,0
4178.0,2
5076.0,2
5670.0,3
785.0,1
176.0,1
5671.0,3
6905.0,3
5757.0,3
7038.0,3
1067.0,1
3411.0,0
769.0,1
7187.0,3
5365.0,2
6171.0,3
6897.0,3
4358.0,2
5341.0,2
4936.0,2
5794.0,3
941.0,1
1283.0,1
3607.0,2
6944.0,3
732.0,1
204.0,1
5051.0,2
1788.0,1
5381.0,2
3074.0,0
5891.0,3
2377.0,0
6353.0,3
543.0,1
3588.0,0
116.0,1
1945.0,0
2487.0,0
1556.0,1
1033.0,1
2967.0,0
5145.0,2
1420.0,1
3263.0,0
1335.0,1
2646.0,0
3736.0,2
4012.0,2
649.0,1
6774.0,3
2686.0,0
426.0,1
6641.0,3
514.0,1
1321.0,1
4459.0,2
1877.0,0
5847.0,3
3383.0,0
6816.0,3
1750.0,1
1581.0,1
7144.0,3
1765.0,1
337.0,1
5155.0,2
2787.0,0
3521.0,0
5278.0,2
723.0,1
2688.0,0
3983.0,2
3341.0,0
437.0,1
2713.0,0
7180.0,3
6655.0,3
2659.0,0
2573.0,0
339.0,1
1582.0,1
2008.0,0
601.0,1
4767.0,2
3114.0,0
1280.0,1
5568.0,3
1268.0,1
2930.0,0
3964.0,2
3916.0,2
5415.0,3
5022.0,2
3904.0,2
6062.0,3
6293.0,3
6891.0,3
5279.0,2
2082.0,0
7066.0,3
2454.0,0
160.0,1
421.0,1
110.0,1
3044.0,0
4156.0,2
3660.0,2
5829.0,3
1126.0,1
4414.0,2
820.0,1
2590.0,0
2786.0,0
1809.0,0
1388.0,1
1895.0,0
4575.0,2
5788.0,3
5817.0,3
1123.0,1
6808.0,3
5004.0,2
981.0,1
4522.0,2
2158.0,0
6903.0,3
2897.0,0
2479.0,0
6586.0,3
1001.0,1
4087.0,2
2549.0,0
3998.0,2
2907.0,0
5826.0,3
6311.0,3
6616.0,3
1448.0,1
3238.0,0
2928.0,0
3289.0,0
4194.0,2
1727.0,1
3371.0,0
6789.0,3
3385.0,0
2276.0,0
1254.0,1
3515.0,0
6694.0,3
315.0,1
1036.0,1
517.0,1
6345.0,3
6846.0,3
3701.0,2
4025.0,2
7130.0,3
2711.0,0
2950.0,0
6963.0,3
3357.0,0
4222.0,2
4931.0,2
6914.0,3
7126.0,3
1103.0,1
2432.0,0
793.0,1
5894.0,3
3661.0,2
3145.0,0
2436.0,0
729.0,1
4410.0,2
6726.0,3
2916.0,0
4127.0,2
2671.0,0
6488.0,3
5961.0,3
774.0,1
380.0,1
382.0,1
3877.0,2
730.0,1
284.0,1
5195.0,2
7089.0,3
735.0,1
6228.0,3
4745.0,2
5673.0,3
1140.0,1
1509.0,1
2554.0,0
3762.0,2
1980.0,0
3858.0,2
578.0,1
1385.0,1
824.0,1
226.0,1
146.0,1
7085.0,3
6009.0,3
3069.0,0
3628.0,2
5122.0,2
6643.0,3
2288.0,0
365.0,1
2091.0,0
335.0,1
6435.0,3
823.0,1
3583.0,0
1409.0,1
852.0,1
2095.0,0
5188.0,2
6830.0,3
6434.0,3
3559.0,0
3986.0,2
6797.0,3
913.0,1
2044.0,0
2708.0,0
2511.0,0
7037.0,3
265.0,1
6543.0,3
4972.0,2
1849.0,0
995.0,1
5311.0,2
6522.0,3
439.0,1
3468.0,0
4722.0,2
6675.0,3
6922.0,3
4681.0,2
6913.0,3
1611.0,1
1553.0,1
2149.0,0
4845.0,2
6715.0,3
3043.0,0
910.0,1
2156.0,0
6360.0,3
4850.0,2
5539.0,3
3010.0,0
162.0,1
5502.0,3
6312.0,3
5515.0,3
3193.0,0
5099.0,2
814.0,1
1366.0,1
5167.0,2
4720.0,2
68.0,1
4919.0,2
4952.0,2
5324.0,2
155.0,1
2064.0,0
6082.0,3
4915.0,2
4967.0,2
3795.0,2
1135.0,1
420.0,1
6500.0,3
2577.0,0
6809.0,3
5592.0,3
6743.0,3
5903.0,3
5157.0,2
4668.0,2
4514.0,2
655.0,1
3105.0,0
124.0,1
5526.0,3
1812.0,0
576.0,1
1309.0,1
5395.0,2
1981.0,0
6519.0,3
6150.0,3
5356.0,2
3242.0,0
6840.0,3
3910.0,2
6275.0,3
1112.0,1
4027.0,2
5287.0,2
3990.0,2
1296.0,1
2985.0,0
1500.0,1
1430.0,1
5156.0,2
343.0,1
3810.0,2
6487.0,3
4141.0,2
