,noise_type,optimizer,lr,num_epoch,batch_size,hidden_size,train_accuracy,test_accuracy,test_auc,cohenkappa_score
0,time_dependent_noise_0.2,Adam,0.001,300,64,10,0.4083333333333333,0.4125,0.6710890531539917,0.21664273738861084
1,time_independent_noise_0.25,Adam,0.001,300,64,10,0.484375,0.49166666666666664,0.7325573563575745,0.3333333134651184
2,biomass_dependent_noise_0.2,Adam,0.001,300,64,10,0.39895833333333336,0.3625,0.7369370460510254,0.2775194048881531
3,without_noise,Adam,0.001,300,64,10,0.5791666666666667,0.5583333333333333,0.7708641290664673,0.4309859275817871
4,time_dependent_noise_0.2,Adam,0.001,300,64,10,0.24895833333333334,0.25833333333333336,0.6601455211639404,0.16376304626464844
5,time_independent_noise_0.25,Adam,0.001,300,64,10,0.34375,0.325,0.6011133790016174,0.10460251569747925
6,biomass_dependent_noise_0.2,Adam,0.001,300,64,10,0.3697916666666667,0.31666666666666665,0.7029522061347961,0.19384616613388062
7,without_noise,Adam,0.001,300,64,10,0.5572916666666666,0.5791666666666667,0.7684583067893982,0.4408901333808899
8,time_dependent_noise_0.2,Adam,0.001,300,64,10,0.41875,0.37916666666666665,0.6668469309806824,0.19088321924209595
9,time_independent_noise_0.25,Adam,0.001,300,64,10,0.44479166666666664,0.3875,0.6912144422531128,0.25258493423461914
10,biomass_dependent_noise_0.2,Adam,0.001,300,64,10,0.41875,0.425,0.7311847805976868,0.2745961546897888
11,without_noise,Adam,0.001,300,64,10,0.584375,0.5125,0.7685273885726929,0.3556485176086426
12,time_dependent_noise_0.2,Adam,0.001,300,64,10,0.2708333333333333,0.2791666666666667,0.6150209307670593,0.18327975273132324
13,time_independent_noise_0.25,Adam,0.001,300,64,10,0.49270833333333336,0.4,0.7209422588348389,0.24495679140090942
14,biomass_dependent_noise_0.2,Adam,0.001,300,64,10,0.4625,0.4375,0.6728917956352234,0.24965131282806396
15,without_noise,Adam,0.001,300,64,10,0.5395833333333333,0.5583333333333333,0.7998034954071045,0.4375
16,time_dependent_noise_0.2,Adam,0.001,300,64,10,0.30520833333333336,0.30833333333333335,0.643519937992096,0.18818038702011108
17,time_independent_noise_0.25,Adam,0.001,300,64,10,0.44166666666666665,0.4,0.7083902955055237,0.23976606130599976
18,biomass_dependent_noise_0.2,Adam,0.001,300,64,10,0.46875,0.42083333333333334,0.7244601249694824,0.24928367137908936
19,without_noise,Adam,0.001,300,64,10,0.5447916666666667,0.5833333333333334,0.8228762149810791,0.4627285599708557
20,time_dependent_noise_0.2,Adam,0.001,300,64,10,0.40520833333333334,0.39166666666666666,0.6762531995773315,0.22255194187164307
21,time_independent_noise_0.25,Adam,0.001,300,64,10,0.49166666666666664,0.4375,0.736263632774353,0.2693935036659241
22,biomass_dependent_noise_0.2,Adam,0.001,300,64,10,0.41875,0.37083333333333335,0.7038133144378662,0.22205662727355957
23,without_noise,Adam,0.001,300,64,10,0.6520833333333333,0.6625,0.8097325563430786,0.5543175339698792
24,time_dependent_noise_0.2,Adam,0.001,300,64,10,0.35625,0.32916666666666666,0.6608026027679443,0.19568568468093872
25,time_independent_noise_0.25,Adam,0.001,300,64,10,0.465625,0.42916666666666664,0.7208141684532166,0.26676177978515625
26,biomass_dependent_noise_0.2,Adam,0.001,300,64,10,0.3458333333333333,0.2625,0.6442914009094238,0.13915854692459106
27,without_noise,Adam,0.001,300,64,10,0.425,0.35,0.7112802267074585,0.2197309136390686
28,time_dependent_noise_0.2,Adam,0.001,300,64,10,0.25729166666666664,0.23333333333333334,0.693398654460907,0.1764705777168274
29,time_independent_noise_0.25,Adam,0.001,300,64,10,0.32083333333333336,0.30833333333333335,0.7009745240211487,0.12301015853881836
30,biomass_dependent_noise_0.2,Adam,0.001,300,64,10,0.390625,0.32916666666666666,0.6886740326881409,0.19999998807907104
31,without_noise,Adam,0.001,300,64,10,0.59375,0.5916666666666667,0.8244685530662537,0.469845712184906
32,time_dependent_noise_0.2,Adam,0.001,300,64,10,0.253125,0.24583333333333332,0.6729387044906616,0.15808171033859253
33,time_independent_noise_0.25,Adam,0.001,300,64,10,0.478125,0.4666666666666667,0.7548563480377197,0.31623929738998413
34,biomass_dependent_noise_0.2,Adam,0.001,300,64,10,0.359375,0.3541666666666667,0.6778837442398071,0.2297939658164978
35,without_noise,Adam,0.001,300,64,10,0.484375,0.42916666666666664,0.7355605959892273,0.24581003189086914
36,time_dependent_noise_0.2,Adam,0.001,300,64,10,0.390625,0.325,0.6623786091804504,0.17014926671981812
37,time_independent_noise_0.25,Adam,0.001,300,64,10,0.5427083333333333,0.45416666666666666,0.7308526039123535,0.28832632303237915
38,biomass_dependent_noise_0.2,Adam,0.001,300,64,10,0.3729166666666667,0.3458333333333333,0.6761605739593506,0.21044546365737915
39,without_noise,Adam,0.001,300,64,10,0.5229166666666667,0.4666666666666667,0.7682579755783081,0.3179855942726135
