,noise_type,optimizer,lr,num_epoch,batch_size,hidden_size,train_accuracy,test_accuracy,test_auc,cohenkappa_score
0,time_dependent_noise_0.2,Adam,0.001,300,64,10,0.396875,0.4125,0.672677279,0.228571415
1,time_independent_noise_0.25,Adam,0.001,300,64,10,0.473958333,0.429166667,0.724595726,0.253900707
2,biomass_dependent_noise_0.2,Adam,0.001,300,64,10,0.389583333,0.4125,0.65763098,0.225710034
3,without_noise,Adam,0.001,300,64,10,0.376041667,0.391666667,0.679990292,0.239097774
4,time_dependent_noise_0.2,Adam,0.001,300,64,10,0.327083333,0.295833333,0.644417405,0.157556295
5,time_independent_noise_0.25,Adam,0.001,300,64,10,0.371875,0.341666667,0.719583035,0.122905016
6,biomass_dependent_noise_0.2,Adam,0.001,300,64,10,0.257291667,0.270833333,0.662746727,0.196694195
7,without_noise,Adam,0.001,300,64,10,0.309375,0.2875,0.640922248,0.164227664
8,time_dependent_noise_0.2,Adam,0.001,300,64,10,0.395833333,0.375,0.656288922,0.209580839
9,time_independent_noise_0.25,Adam,0.001,300,64,10,0.478125,0.420833333,0.699730933,0.257142842
10,biomass_dependent_noise_0.2,Adam,0.001,300,64,10,0.405208333,0.4,0.659606218,0.195402324
11,without_noise,Adam,0.001,300,64,10,0.3,0.2875,0.677803874,0.177235782
12,time_dependent_noise_0.2,Adam,0.001,300,64,10,0.345833333,0.329166667,0.621692121,0.186335385
13,time_independent_noise_0.25,Adam,0.001,300,64,10,0.354166667,0.333333333,0.709502518,0.243749976
14,biomass_dependent_noise_0.2,Adam,0.001,300,64,10,0.282291667,0.245833333,0.652017176,0.140065134
15,without_noise,Adam,0.001,300,64,10,0.272916667,0.295833333,0.678462446,0.223529398
16,time_dependent_noise_0.2,Adam,0.001,300,64,10,0.373958333,0.379166667,0.686158717,0.240544617
17,time_independent_noise_0.25,Adam,0.001,300,64,10,0.486458333,0.479166667,0.719941616,0.322081566
18,biomass_dependent_noise_0.2,Adam,0.001,300,64,10,0.397916667,0.366666667,0.674412549,0.182857156
19,without_noise,Adam,0.001,300,64,10,0.328125,0.320833333,0.682181776,0.199372053
20,time_dependent_noise_0.2,Adam,0.001,300,64,10,0.359375,0.354166667,0.664900243,0.211356461
21,time_independent_noise_0.25,Adam,0.001,300,64,10,0.469791667,0.458333333,0.73485744,0.295774639
22,biomass_dependent_noise_0.2,Adam,0.001,300,64,10,0.425,0.375,0.664170802,0.169230759
23,without_noise,Adam,0.001,300,64,10,0.264583333,0.258333333,0.652761996,0.160621762
24,time_dependent_noise_0.2,Adam,0.001,300,64,10,0.294791667,0.279166667,0.657846451,0.152979076
25,time_independent_noise_0.25,Adam,0.001,300,64,10,0.4625,0.404166667,0.712378681,0.234708369
26,biomass_dependent_noise_0.2,Adam,0.001,300,64,10,0.36875,0.295833333,0.607464015,0.092537284
27,without_noise,Adam,0.001,300,64,10,0.33125,0.279166667,0.648920059,0.140157461
28,time_dependent_noise_0.2,Adam,0.001,300,64,10,0.367708333,0.295833333,0.656032562,0.163076937
29,time_independent_noise_0.25,Adam,0.001,300,64,10,0.467708333,0.420833333,0.723531008,0.270114958
30,biomass_dependent_noise_0.2,Adam,0.001,300,64,10,0.291666667,0.233333333,0.663650811,0.119476259
31,without_noise,Adam,0.001,300,64,10,0.384375,0.354166667,0.651560783,0.179562032
32,time_dependent_noise_0.2,Adam,0.001,300,64,10,0.252083333,0.241666667,0.674718618,0.174061418
33,time_independent_noise_0.25,Adam,0.001,300,64,10,0.454166667,0.445833333,0.71908766,0.266106427
34,biomass_dependent_noise_0.2,Adam,0.001,300,64,10,0.273958333,0.283333333,0.646809816,0.165562928
35,without_noise,Adam,0.001,300,64,10,0.285416667,0.279166667,0.639080048,0.159128964
36,time_dependent_noise_0.2,Adam,0.001,300,64,10,0.35,0.304166667,0.665740907,0.180124223
37,time_independent_noise_0.25,Adam,0.001,300,64,10,0.478125,0.479166667,0.734804988,0.303621173
38,biomass_dependent_noise_0.2,Adam,0.001,300,64,10,0.358333333,0.354166667,0.666983306,0.196946561
39,without_noise,Adam,0.001,300,64,10,0.338541667,0.316666667,0.664086401,0.191887677
